question,answer
how do I create a timetable?,"Go to 'Create Timetable', enter subjects, teachers, and lecture counts per week, then click 'Generate'."
How do i create a timetable?,"Go to 'Create Timetable', enter subjects, teachers, and lecture counts per week, then click 'Generate'."
how to add subjects?,"In the 'Subjects' tab click 'Add Subject' and fill name, code, type (theory/lab), and preferred slots if any."
How to add subjects?,"In the 'Subjects' tab click 'Add Subject' and fill name, code, type (theory/lab), and preferred slots if any."
how to add teachers?,"Go to 'Teachers' → 'Add Teacher' and enter name, availability, max lectures/day, and contact details."
How to add teachers?,"Go to 'Teachers' → 'Add Teacher' and enter name, availability, max lectures/day, and contact details."
how to set number of lectures per week?,"When adding a subject, set the 'Lectures/Week' field — the generator will allocate that many slots."
How to set number of lectures per week?,"When adding a subject, set the 'Lectures/Week' field — the generator will allocate that many slots."
what is section-wise timetable?,It means each class section (A/B/C) gets its own timetable based on students and subjects for that section.
What is section-wise timetable?,It means each class section (A/B/C) gets its own timetable based on students and subjects for that section.
how do I change a lecture time?,"Open the timetable, drag-and-drop the lecture to a new slot or use 'Edit slot' to change time."
How do i change a lecture time?,"Open the timetable, drag-and-drop the lecture to a new slot or use 'Edit slot' to change time."
how can I edit a timetable?,"Use the timetable editor to move, swap, or delete slots; save changes after editing."
How can i edit a timetable?,"Use the timetable editor to move, swap, or delete slots; save changes after editing."
how do I delete a subject?,"In Subjects list, click the trash icon next to the subject to remove it. Confirm to delete."
How do i delete a subject?,"In Subjects list, click the trash icon next to the subject to remove it. Confirm to delete."
can I export the timetable?,"Yes — export options include PDF, CSV, and Google Calendar sync (if enabled)."
Can i export the timetable?,"Yes — export options include PDF, CSV, and Google Calendar sync (if enabled)."
can I import data from CSV?,Yes — go to 'Import' and upload a CSV following our sample template. The site will map fields automatically.
Can i import data from csv?,Yes — go to 'Import' and upload a CSV following our sample template. The site will map fields automatically.
does it support multiple sections?,"Yes, the scheduler supports multiple sections and generates timetables for each section separately."
Does it support multiple sections?,"Yes, the scheduler supports multiple sections and generates timetables for each section separately."
is this free?,The basic timetable generation and downloads are free. Some advanced features may require signup or premium.
Is this free?,The basic timetable generation and downloads are free. Some advanced features may require signup or premium.
how can I contact support?,Use the 'Contact' form in footer or email support@smarttimetable.example (replace with actual support email).
How can i contact support?,Use the 'Contact' form in footer or email support@smarttimetable.example (replace with actual support email).
how do I reset my password?,Use 'Forgot Password' on login — we'll send a reset link to your account email.
How do i reset my password?,Use 'Forgot Password' on login — we'll send a reset link to your account email.
do you have a mobile app?,Currently the site is mobile-friendly. A native app may be coming soon.
Do you have a mobile app?,Currently the site is mobile-friendly. A native app may be coming soon.
can students view the timetable?,Yes — you can share a public link or allow student accounts to view their section's timetable.
Can students view the timetable?,Yes — you can share a public link or allow student accounts to view their section's timetable.
can teachers view their schedules?,Yes — teacher accounts can view and download their personal schedule.
Can teachers view their schedules?,Yes — teacher accounts can view and download their personal schedule.
how to set 5 lectures per week for Economics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to create a custom timetable template?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to assign Mr. Khan to Physics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to share timetable via link?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to add elective subjects?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to assign Dr. Iyer to History?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set 4 lectures per week for Economics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to assign Dr. Singh to Biology?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to print the timetable?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to export timetable to Google Calendar?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set 3 lectures per week for Physics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set 1 lectures per week for Electronics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to add a substitute teacher for Ms. Patel?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how do I add Biology to section C?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set break times and lunch break?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to swap two lectures?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to add tutorials and practicals?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to resolve clashes between Math and Physics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set max consecutive lectures?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how do I add Biology to section 2?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to add a substitute teacher for Dr. Singh?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to resolve clashes between Chemistry and Biology?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to add a substitute teacher for Mr. Sharma?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to balance load between teachers?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
can I download the timetable for section D as PDF?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to include lab sessions in timetable?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
can I download the timetable for section 2 as PDF?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to add classroom numbers?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to generate timetable section-wise?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to resolve clashes between English and History?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
can I download the timetable for section C as PDF?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
"my Prof. Rao is unavailable on Friday, how to reschedule?","To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how do I add Chemistry to section A?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to add a substitute teacher for Dr. Iyer?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set 2 lectures per week for History?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
can I change time slot durations?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to assign Dr. Singh to Physics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to assign Mr. Sharma to Physics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set 4 lectures per week for Chemistry?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set 8 lectures per week for Electronics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
"my Dr. Iyer is unavailable on Sunday, how to reschedule?","To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to resolve clashes between CS and Electronics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to assign Ms. Verma to Physics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to add a substitute teacher for Mrs. Gupta?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
can I download the timetable for section B as PDF?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
"my Mrs. Gupta is unavailable on Saturday, how to reschedule?","To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
"my Mr. Khan is unavailable on Saturday, how to reschedule?","To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to assign Dr. Iyer to Economics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to assign Mr. Sharma to History?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
"my Ms. Patel is unavailable on Thursday, how to reschedule?","To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how do I add Physics to section A?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
"my Mr. Sharma is unavailable on Monday, how to reschedule?","To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to add a substitute teacher for Mr. Khan?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how do I add Geography to section 3?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to assign Dr. Iyer to Geography?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how do I add English to section D?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how do I add Math to section 2?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set 6 lectures per week for Physics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set 5 lectures per week for Electronics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to add a substitute teacher for Prof. Rao?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set 2 lectures per week for Electronics?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set 5 lectures per week for Geography?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
"my Mr. Khan is unavailable on Monday, how to reschedule?","To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how do I add Math to section A?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
can I download the timetable for section E as PDF?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to assign Dr. Iyer to Biology?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set 3 lectures per week for History?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to assign Mr. Khan to History?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how do I add Chemistry to section 2?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to set 2 lectures per week for Biology?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how do I add Economics to section A?,"To do this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
how to assign Mr. Sharma to Chemistry?,"To handle this: go to the relevant tab (Subjects/Teachers/Timetable), enter the details, and click 'Save' or 'Generate'. If there's a conflict I'll suggest alternate slots."
"the timetable has clashes, how to fix?",Use 'Resolve Clashes' tool — it suggests changes or allows manual swap. Check teacher availability and room assignments.
"i uploaded CSV but mapping failed, help?",Open 'Import History' and see the error details. Ensure your CSV columns match the sample template and try again.
the download button is not working,Try refreshing the page; if it persists clear cache or try another browser. Contact support if it still fails.
how to set time slot length to 45 minutes?,In Settings → Time Slots set slot duration to 45 minutes and regenerate the timetable.
can I restrict a teacher to max 3 lectures per day?,Yes — edit teacher profile and set 'Max lectures per day' to 3.
how to include weekend classes?,"Enable Saturday/Sunday in Settings → Working Days, then regenerate to include weekend slots."
how to schedule make-up classes?,"Use 'Add Special Session' and pick date/time, mark it as a make-up class and assign teacher & room."
how to add holidays so no classes on that day?,Go to Settings → Holidays and add dates; the generator will avoid those days.
how to change language to Hindi?,"If multilingual is supported, change language in Settings → Language. Otherwise contact support for localization."
does the site save drafts automatically?,Autosave runs periodically; you can also click 'Save Draft' to store progress explicitly.
is my data private?,Yes — we store data securely. Check our Privacy Policy for details on storage and retention.
how long do you keep my data?,Data retention depends on account settings — see Privacy Policy or contact support to request deletion.
can I delete my account?,Yes — in Account Settings choose 'Delete Account' and follow the confirmation steps.
is the site GDPR compliant?,We aim to comply with privacy regulations; contact support for enterprise or compliance-specific questions.
how secure is the timetable data?,"We use secure protocols and access controls. For specifics, request our security whitepaper from support."
how to export timetable for a single teacher?,Open Timetables → Choose 'By Teacher' → Select teacher → Export as PDF/CSV.
how to export all sections at once?,Use 'Bulk Export' in Timetables and choose format (ZIP of PDFs or single CSV).
can I color-code subjects?,Yes — go to Settings → Colors and assign colors to subject categories.
does it detect duplicate subjects?,Yes — the import/validation step flags duplicates by name/code.
can I set preferred time slots for a teacher?,In the teacher profile add preferred/blocked slots to influence scheduling.
how to print timetable in A4 landscape?,Choose 'Print' → Page Setup → A4 Landscape and print from PDF viewer.
can I undo changes?,There's an 'Undo' for recent edits and a version history to restore earlier saves.
tell me a joke,Why did the lecture cross the timetable? To get to the other side of the schedule. 😄
i'm bored,Make your timetable spicy: add a surprise guest lecture! Or ask me to auto-generate one.
what's your name?,I'm the Smart Timetable Scheduler chatbot — your timetable's hype friend.
do you have feelings?,I have one feeling: optimized schedules.
can you sing?,"I can provide a playlist suggestion, but singing is out of scope — for now!"
is it possible to include labs for section 1?,"To include labs: open the appropriate settings or tab, enter the details (section 1), and click Save/Generate. Use the validation tool to check for issues."
how to include labs for section A?,"To include labs: open the appropriate settings or tab, enter the details (section A), and click Save/Generate. Use the validation tool to check for issues."
where do i resolve clashes for section C?,"To resolve clashes: open the appropriate settings or tab, enter the details (section C), and click Save/Generate. Use the validation tool to check for issues."
what happens if i enable weekend for section A?,"To enable weekend: open the appropriate settings or tab, enter the details (section A), and click Save/Generate. Use the validation tool to check for issues."
help me with merge sections for section 1?,"To merge sections: open the appropriate settings or tab, enter the details (section 1), and click Save/Generate. Use the validation tool to check for issues."
what happens if i set time slots for section 1?,"To set time slots: open the appropriate settings or tab, enter the details (section 1), and click Save/Generate. Use the validation tool to check for issues."
how do i set lunch time for section A?,"To set lunch time: open the appropriate settings or tab, enter the details (section A), and click Save/Generate. Use the validation tool to check for issues."
can i export PDF for section E?,"To export PDF: open the appropriate settings or tab, enter the details (section E), and click Save/Generate. Use the validation tool to check for issues."
how to include labs for section D?,"To include labs: open the appropriate settings or tab, enter the details (section D), and click Save/Generate. Use the validation tool to check for issues."
is it possible to disable holiday for section D?,"To disable holiday: open the appropriate settings or tab, enter the details (section D), and click Save/Generate. Use the validation tool to check for issues."
where do i enable weekend for section A?,"To enable weekend: open the appropriate settings or tab, enter the details (section A), and click Save/Generate. Use the validation tool to check for issues."
how to add subjects for section D?,"To add subjects: open the appropriate settings or tab, enter the details (section D), and click Save/Generate. Use the validation tool to check for issues."
what happens if i set time slots for section 2?,"To set time slots: open the appropriate settings or tab, enter the details (section 2), and click Save/Generate. Use the validation tool to check for issues."
how do i add subjects for section E?,"To add subjects: open the appropriate settings or tab, enter the details (section E), and click Save/Generate. Use the validation tool to check for issues."
what happens if i enable weekend for section D?,"To enable weekend: open the appropriate settings or tab, enter the details (section D), and click Save/Generate. Use the validation tool to check for issues."
help me with set lunch time for English with Mr. Khan?,"To set lunch time: open the appropriate settings or tab, enter the details (section D), and click Save/Generate. Use the validation tool to check for issues."
is it possible to merge sections for section 1?,"To merge sections: open the appropriate settings or tab, enter the details (section 1), and click Save/Generate. Use the validation tool to check for issues."
why is add teachers for Math with Mrs. Gupta?,"To add teachers: open the appropriate settings or tab, enter the details (section D), and click Save/Generate. Use the validation tool to check for issues."
help me with import CSV for section 3?,"To import CSV: open the appropriate settings or tab, enter the details (section 3), and click Save/Generate. Use the validation tool to check for issues."
why is export PDF for Math with Ms. Patel?,"To export PDF: open the appropriate settings or tab, enter the details (section 2), and click Save/Generate. Use the validation tool to check for issues."
how do i split a class for section C?,"To split a class: open the appropriate settings or tab, enter the details (section C), and click Save/Generate. Use the validation tool to check for issues."
is it possible to set consecutive lecture limit for section 3?,"To set consecutive lecture limit: open the appropriate settings or tab, enter the details (section 3), and click Save/Generate. Use the validation tool to check for issues."
help me with set lunch time for Physics with Prof. Rao?,"To set lunch time: open the appropriate settings or tab, enter the details (section D), and click Save/Generate. Use the validation tool to check for issues."
where do i include labs for section C?,"To include labs: open the appropriate settings or tab, enter the details (section C), and click Save/Generate. Use the validation tool to check for issues."
what happens if i merge sections for section D?,"To merge sections: open the appropriate settings or tab, enter the details (section D), and click Save/Generate. Use the validation tool to check for issues."
how to import CSV for Geography with Ms. Patel?,"To import CSV: open the appropriate settings or tab, enter the details (section E), and click Save/Generate. Use the validation tool to check for issues."
where do i assign classroom for section B?,"To assign classroom: open the appropriate settings or tab, enter the details (section B), and click Save/Generate. Use the validation tool to check for issues."
is it possible to set teacher availability for section B?,"To set teacher availability: open the appropriate settings or tab, enter the details (section B), and click Save/Generate. Use the validation tool to check for issues."
help me with set breaks for section E?,"To set breaks: open the appropriate settings or tab, enter the details (section E), and click Save/Generate. Use the validation tool to check for issues."
how do i export PDF for section C?,"To export PDF: open the appropriate settings or tab, enter the details (section C), and click Save/Generate. Use the validation tool to check for issues."
is it possible to set time slots for English with Mr. Khan?,"To set time slots: open the appropriate settings or tab, enter the details (section 3), and click Save/Generate. Use the validation tool to check for issues."
how do i split a class for section 3?,"To split a class: open the appropriate settings or tab, enter the details (section 3), and click Save/Generate. Use the validation tool to check for issues."
how to set time slots for section E?,"To set time slots: open the appropriate settings or tab, enter the details (section E), and click Save/Generate. Use the validation tool to check for issues."
how do i download timetable for Biology with Mrs. Gupta?,"To download timetable: open the appropriate settings or tab, enter the details (section A), and click Save/Generate. Use the validation tool to check for issues."
help me with set lunch time for section E?,"To set lunch time: open the appropriate settings or tab, enter the details (section E), and click Save/Generate. Use the validation tool to check for issues."
help me with share link for History with Ms. Verma?,"To share link: open the appropriate settings or tab, enter the details (section 2), and click Save/Generate. Use the validation tool to check for issues."
is it possible to include labs for English with Dr. Singh?,"To include labs: open the appropriate settings or tab, enter the details (section 2), and click Save/Generate. Use the validation tool to check for issues."
can i merge sections for section E?,"To merge sections: open the appropriate settings or tab, enter the details (section E), and click Save/Generate. Use the validation tool to check for issues."
why is download timetable for section C?,"To download timetable: open the appropriate settings or tab, enter the details (section C), and click Save/Generate. Use the validation tool to check for issues."
how do i set lunch time for section 1?,"To set lunch time: open the appropriate settings or tab, enter the details (section 1), and click Save/Generate. Use the validation tool to check for issues."
how to resolve clashes for section C?,"To resolve clashes: open the appropriate settings or tab, enter the details (section C), and click Save/Generate. Use the validation tool to check for issues."
where do i change section name for Geography with Ms. Patel?,"To change section name: open the appropriate settings or tab, enter the details (section C), and click Save/Generate. Use the validation tool to check for issues."
how do i add subjects for History with Ms. Verma?,"To add subjects: open the appropriate settings or tab, enter the details (section C), and click Save/Generate. Use the validation tool to check for issues."
what happens if i change section name for section B?,"To change section name: open the appropriate settings or tab, enter the details (section B), and click Save/Generate. Use the validation tool to check for issues."
help me with set time slots for section C?,"To set time slots: open the appropriate settings or tab, enter the details (section C), and click Save/Generate. Use the validation tool to check for issues."
why is set teacher availability for Computer Science with Mr. Khan?,"To set teacher availability: open the appropriate settings or tab, enter the details (section C), and click Save/Generate. Use the validation tool to check for issues."
